"","POSITION","COMPANY","TICKER","WEIGHT"
"336",336,"Amcor PLC","AMCR",0.00056439
"337",337,"Northern Trust Corporation","NTRS",0.0005602
"338",338,"STERIS Plc","STE",0.00055855
"339",339,"Tyson Foods Inc. Class A","TSN",0.00055817
"340",340,"CMS Energy Corporation","CMS",0.00055402
"341",341,"Ventas Inc.","VTR",0.00055115
"342",342,"Mid-America Apartment Communities Inc.","MAA",0.00054784
"343",343,"Quest Diagnostics Incorporated","DGX",0.00054492
"344",344,"Expeditors International of Washington Inc.","EXPD",0.00054457
"345",345,"PerkinElmer Inc.","PKI",0.00054443
"346",346,"Clorox Company","CLX",0.0005415
"347",347,"Marathon Oil Corporation","MRO",0.00053884
"348",348,"IDEX Corporation","IEX",0.00053488
"349",349,"Darden Restaurants Inc.","DRI",0.00053349
"350",350,"ABIOMED Inc.","ABMD",0.00053326
"351",351,"Invitation Homes Inc.","INVH",0.00053321
"352",352,"SolarEdge Technologies Inc.","SEDG",0.00053299
"353",353,"West Pharmaceutical Services Inc.","WST",0.00051981
"354",354,"J.M. Smucker Company","SJM",0.0005189
"355",355,"Cincinnati Financial Corporation","CINF",0.00050717
"356",356,"Etsy Inc.","ETSY",0.00049803
"357",357,"Best Buy Co. Inc.","BBY",0.00049796
"358",358,"Omnicom Group Inc","OMC",0.0004959
"359",359,"Ball Corporation","BALL",0.00049557
"360",360,"Monolithic Power Systems Inc.","MPWR",0.00049512
"361",361,"Targa Resources Corp.","TRGP",0.00049094
"362",362,"Broadridge Financial Solutions Inc.","BR",0.00049056
"363",363,"Atmos Energy Corporation","ATO",0.00048822
"364",364,"Mosaic Company","MOS",0.00048758
"365",365,"FMC Corporation","FMC",0.00048717
"366",366,"Cooper Companies Inc.","COO",0.00048593
"367",367,"First Solar Inc.","FSLR",0.00048518
"368",368,"Take-Two Interactive Software Inc.","TTWO",0.00047985
"369",369,"KeyCorp","KEY",0.0004784
"370",370,"Jacobs Solutions Inc.","J",0.00047486
"371",371,"Las Vegas Sands Corp.","LVS",0.00047465
"372",372,"Incyte Corporation","INCY",0.00047042
"373",373,"FactSet Research Systems Inc.","FDS",0.00046423
"374",374,"W. R. Berkley Corporation","WRB",0.00046308
"375",375,"Paycom Software Inc.","PAYC",0.00046154
"376",376,"Synchrony Financial","SYF",0.00045972
"377",377,"Textron Inc.","TXT",0.00045798
"378",378,"J.B. Hunt Transport Services Inc.","JBHT",0.00045647
"379",379,"Avery Dennison Corporation","AVY",0.00045594
"380",380,"Align Technology Inc.","ALGN",0.00045496
"381",381,"Iron Mountain Inc.","IRM",0.00044925
"382",382,"APA Corp.","APA",0.00044864
"383",383,"Skyworks Solutions Inc.","SWKS",0.00044725
"384",384,"NVR Inc.","NVR",0.00044619
"385",385,"Leidos Holdings Inc.","LDOS",0.00044359
"386",386,"Howmet Aerospace Inc.","HWM",0.00044029
